1,0,0,0,0,1,0,0,0,0,1,0,0.2, 0.2, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.139395, 0.01, 1,	1411.9, 582.126
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0, 0.01, 1,	476.931, 54.2149
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0, 0.01, 1,	537.692, 44.9724
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0, 0.01, 1,	602.369, 36.8935
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0, 0.01, 1,	669.846, 29.5891
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0, 0.01, 1,	740.657, 23.3258
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0.0348488, 0.01, 1,	458.887, 118.682
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0.0348488, 0.01, 1,	520.14, 110.155
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0.0348488, 0.01, 1,	585.23, 102.735
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0.0348488, 0.01, 1,	653.509, 95.8863
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.0348488, 0.01, 1,	725.017, 90.8616
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0.0696976, 0.01, 1,	441.877, 186.088
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0.0696976, 0.01, 1,	503.407, 178.654
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0.0696976, 0.01, 1,	568.7, 171.94
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0.0696976, 0.01, 1,	637.622, 165.981
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.0696976, 0.01, 1,	710.131, 160.867
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0.104546, 0.01, 1,	425.3, 256.376
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0.104546, 0.01, 1,	487.198, 249.98
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0.104546, 0.01, 1,	552.988, 244.291
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0.104546, 0.01, 1,	622.469, 239.311
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.104546, 0.01, 1,	695.696, 235.113
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0.139395, 0.01, 1,	410.112, 329.349
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0.139395, 0.01, 1,	472, 324.319
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0.139395, 0.01, 1,	538.184, 319.786
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0.139395, 0.01, 1,	608.109, 315.989
1,0,0,0,0,1,0,0,0,0,1,0,0.5, 0.3, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.139395, 0.01, 1,	681.959, 312.807
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0, 0.01, 1,	1573.29, 491.237
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0, 0.01, 1,	1661.11, 499.267
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0, 0.01, 1,	1746.01, 507.907
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0, 0.01, 1,	1827.36, 516.907
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0, 0.01, 1,	1904.92, 526.368
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0.0348488, 0.01, 1,	1570.56, 581.097
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0.0348488, 0.01, 1,	1659.26, 588.182
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0.0348488, 0.01, 1,	1744.86, 595.772
