0.619622,	0.098694,	0.176123,	0.045233,	-0.001328,	-0.002215,	-0.003812,	0.000000
0.322672,	0.067722,	0.009438,	0.004904,	0.000033,	0.001274,	0.000001,	0.000000
0.269451,	0.044685,	0.000035,	0.000007,	0.000000,	0.000001,	-0.000000,	0.000000
0.265362,	0.026961,	0.000102,	0.000104,	-0.000000,	0.000017,	0.000000,	0.000000
0.206001,	0.000472,	0.005647,	0.000136,	-0.000000,	-0.000001,	-0.000000,	0.000000
0.541934,	0.223437,	0.045904,	0.037103,	0.001528,	0.016751,	0.000092,	0.000000
0.335425,	0.039814,	0.000657,	0.002213,	0.000002,	0.000388,	-0.000001,	0.000000
0.218548,	0.012504,	0.000149,	0.000016,	0.000000,	-0.000001,	0.000000,	0.000000
0.397461,	0.118926,	0.012621,	0.006457,	0.000058,	0.002210,	0.000001,	0.000000
0.337284,	0.087567,	0.000002,	0.000001,	0.000000,	0.000000,	-0.000000,	0.000000
0.322010,	0.074567,	0.000079,	0.000029,	0.000000,	0.000006,	-0.000000,	0.000000
0.314061,	0.051825,	0.000092,	0.000038,	0.000000,	0.000005,	0.000000,	0.000000
0.217085,	0.003397,	0.006667,	0.000335,	-0.000000,	-0.000003,	-0.000001,	0.000000
0.235129,	0.017919,	0.000127,	0.000076,	-0.000000,	-0.000006,	0.000000,	0.000000
0.217168,	0.008687,	0.000046,	0.000010,	0.000000,	-0.000001,	-0.000000,	0.000000
0.220142,	0.011997,	0.000076,	0.000046,	-0.000000,	-0.000004,	0.000000,	0.000000
1.508855,	2.248799,	0.006291,	0.004461,	0.000024,	0.005987,	-0.000002,	0.000000
0.603193,	0.333678,	0.001747,	0.001232,	0.000002,	0.000708,	-0.000000,	0.000000
0.176273,	0.003685,	0.000258,	0.000009,	0.000000,	0.000001,	-0.000000,	0.000000
0.334340,	0.066221,	0.005074,	0.003851,	0.000017,	0.000967,	0.000000,	0.000000
0.393026,	0.119707,	0.014238,	0.009649,	0.000113,	0.003264,	-0.000003,	0.000000
0.302320,	0.065252,	0.000026,	0.000009,	0.000000,	0.000002,	-0.000000,	0.000000
0.948134,	0.868711,	0.001639,	0.001655,	0.000003,	0.001542,	-0.000000,	0.000000
0.616117,	0.351842,	0.001365,	0.001053,	0.000001,	0.000614,	-0.000000,	0.000000
0.310470,	0.064119,	0.002995,	0.000531,	0.000000,	0.000004,	0.000001,	0.000000
0.477158,	0.196738,	0.000280,	0.000127,	0.000000,	0.000048,	-0.000000,	0.000000
0.382531,	0.118639,	0.000142,	0.000076,	0.000000,	0.000026,	-0.000000,	0.000000
0.499706,	0.212861,	0.014662,	0.009120,	0.000105,	0.003823,	0.000009,	0.000000
1.741267,	2.982425,	0.054435,	0.049370,	0.002559,	0.085008,	0.000011,	0.000000
3.247832,	10.502395,	0.050662,	0.049160,	0.002453,	0.158802,	-0.000007,	0.000000
0.190871,	0.008896,	0.000009,	0.000001,	-0.000000,	-0.000000,	0.000000,	0.000000
1.244941,	1.507708,	0.052784,	0.048308,	0.002439,	0.058144,	0.000030,	0.000000
0.287057,	0.053387,	0.000163,	0.000107,	0.000000,	0.000023,	0.000000,	0.000000
0.216805,	0.001024,	0.000704,	0.000013,	-0.000000,	0.000000,	-0.000000,	0.000000
0.218026,	0.011907,	0.002935,	0.000629,	0.000001,	0.000064,	0.000000,	0.000000
0.354099,	0.075684,	0.008813,	0.007837,	0.000065,	0.002147,	0.000001,	0.000000
0.429066,	0.150750,	0.015440,	0.011492,	0.000153,	0.004453,	-0.000001,	0.000000
1.740957,	3.002390,	0.000838,	0.000286,	0.000000,	0.000254,	0.000000,	0.000000
0.335240,	0.086244,	0.000007,	0.000003,	0.000000,	0.000001,	0.000000,	0.000000
0.630078,	0.366339,	0.007402,	0.006462,	0.000045,	0.003853,	-0.000000,	0.000000
0.365335,	0.100534,	0.008296,	0.003483,	0.000018,	0.000917,	0.000004,	0.000000
0.350123,	0.017014,	0.011660,	0.002720,	-0.000014,	-0.000332,	-0.000007,	0.000000
0.482795,	0.203868,	0.001663,	0.001209,	0.000002,	0.000546,	0.000000,	0.000000
0.395116,	0.118684,	0.000871,	0.000163,	0.000000,	0.000041,	0.000000,	0.000000
1.067904,	1.085144,	0.237571,	0.204616,	0.045113,	0.211694,	0.000105,	0.000000
1.522338,	2.286130,	0.029787,	0.028498,	0.000830,	0.042950,	0.000002,	0.000000
0.250211,	0.035019,	0.000025,	0.000004,	0.000000,	0.000000,	-0.000000,	0.000000
0.185123,	0.006921,	0.000331,	0.000011,	-0.000000,	-0.000000,	-0.000000,	0.000000
0.205319,	0.001012,	0.005546,	0.000178,	0.000000,	0.000001,	0.000000,	0.000000
0.226392,	0.006011,	0.000244,	0.000012,	-0.000000,	-0.000001,	0.000000,	0.000000
0.270651,	0.045431,	0.000041,	0.000005,	-0.000000,	-0.000001,	0.000000,	0.000000
0.267682,	0.021734,	0.004265,	0.000737,	-0.000001,	-0.000108,	-0.000000,	0.000000
0.250553,	0.023901,	0.000099,	0.000071,	-0.000000,	-0.000004,	0.000000,	0.000000
0.187665,	0.001610,	0.002264,	0.000235,	0.000000,	0.000009,	0.000000,	0.000000
0.220944,	0.021143,	0.000010,	0.000000,	0.000000,	0.000000,	-0.000000,	0.000000
0.199224,	0.000299,	0.003499,	0.000037,	-0.000000,	-0.000000,	0.000000,	0.000000
0.258572,	0.025929,	0.005346,	0.001778,	0.000005,	0.000279,	0.000000,	0.000000
0.266812,	0.034138,	0.000033,	0.000106,	0.000000,	0.000019,	0.000000,	0.000000
0.198514,	0.006896,	0.002137,	0.000458,	0.000000,	0.000037,	0.000000,	0.000000
0.259977,	0.039738,	0.000023,	0.000005,	0.000000,	0.000001,	-0.000000,	0.000000
0.243632,	0.006839,	0.001384,	0.000125,	-0.000000,	-0.000010,	-0.000000,	0.000000
0.208432,	0.001441,	0.005888,	0.000220,	-0.000000,	-0.000005,	0.000000,	0.000000
0.310121,	0.027610,	0.000090,	0.000213,	-0.000000,	0.000033,	0.000000,	0.000000
